State,Business_Rank_2026,Rank_Status,Tooltip_Business_Text,Source
Maine,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Maryland,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Massachusetts,15,Verified,CNBC 2026 Business Rank: #15,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Michigan,6,Verified,CNBC 2026 Business Rank: #6,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Minnesota,5,Verified,CNBC 2026 Business Rank: #5,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Mississippi,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Missouri,38,Verified,CNBC 2026 Business Rank: #38,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Montana,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Nebraska,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Nevada,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
New Hampshire,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
New Jersey,31,Verified,CNBC 2026 Business Rank: #31,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
New Mexico,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
New York,18,Verified,CNBC 2026 Business Rank: #18,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
North Carolina,2,Verified,CNBC 2026 Business Rank: #2,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
North Dakota,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Ohio,1,Verified,CNBC 2026 Business Rank: #1,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Oklahoma,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Oregon,42,Verified,CNBC 2026 Business Rank: #42,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Pennsylvania,13,Verified,CNBC 2026 Business Rank: #13,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Rhode Island,48,Verified,CNBC 2026 Business Rank: #48,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
South Carolina,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
South Dakota,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Tennessee,9,Verified,CNBC 2026 Business Rank: #9,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Texas,4,Verified,CNBC 2026 Business Rank: #4,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Utah,16,Verified,CNBC 2026 Business Rank: #16,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Vermont,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Virginia,3,Verified,CNBC 2026 Business Rank: #3,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Washington,11,Verified,CNBC 2026 Business Rank: #11,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
West Virginia,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Wisconsin,22,Verified,CNBC 2026 Business Rank: #22,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
Wyoming,,Not yet verified,CNBC 2026 Business Rank: verification pending,https://www.cnbc.com/2026/07/09/americas-top-states-for-business-full-rankings.html
